ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-39839713_470769;https://vk.com/club39839713?w=wall-39839713_470769;https://vk.com/club39839713;https://vk.com/club39839713;2024-06-03 15:05;Топ-4 рецептов детских творожников l💟l   1 вариант (творожное печенье с бананом):    Ингредиенты:  -200 гр. творога (лучше зернённого и жирного, домашнего, тогда получится как в детстве)  -100 гр. сливочного масла (маргарин для детского печенья лучше не брать)  -4 столовые ложки фруктозы или детского виноградного сахара  -1 банан  -250 гр. муки  -1/3 чайной ложки гашенной соды  -ванильный сахар (по ГОСТ, он заменяет ванилин и является натуральным продуктом – безопасным для детей)    Приготовление:  1. Растапливаем сливочное масло, остужаем.  2. Творог растираем с сахаром (фруктозой). Добавляем сливочное масло, остуженное. Затем разомнём вилкой банан, или натрём на тёрке, можно порезать, и добавим в массу. Добавим соду и ванилин.  3. Просеем муку в массу и замесим тесто.  4. Тесто раскатываем в пласт толщиной в 1 см. Вырезаем из него любыми формочками кружочки, треугольнички и т.д. Выкладываем на смазанный сливочным маслом противень. Протыкаем вилкой в некоторых местах каждое печенье. Смазываем одним взбитым желтком каждое печенько, можно посыпать изюмом или кунжутом или др. кондитерскими украшениями на ваш выбор.  5. Выпекаем в духовке при температуре 180-200 гр. 5-15 мин. Самое главное не передержать печенье иначе оно станет каменным, а так останется мягким и нежным.  6. Вытаскиваем печенье из духовки и украшаем: можно посыпать сахарной пудрой. Приятного аппетита!   Счастливая мама 2 вариант:    Ингредиенты:  -творог – 200 гр  -яйца – 2 шт  -сахар – 1 стакан  -масло сливочное – 100 гр  -разрыхлитель – 1 ч.л.  -мука – 1,5 стакана    Приготовление:  Творог протереть через сито. Яйца взбить с сахаром. Масло растопить. Все смешать, добавить разрыхлитель, муку, замесить тесто. Тесто раскатать в пласт толщиной 1 см. Вырезать из него фигурное печенье. Выложить на смазанный растительным маслом противень. Чтобы печенье блестело, можно смазать его молоком. Выпекать в разогретой духовке при t=200 гр. 12-15 минут.  Приятного аппетита!    3 вариант:    Ингредиенты:  -творог нежирный 250 гр.  -масло сливочное 200 гр.  -шоколад молочный 100 гр. и белый 50 гр.  -20 гр. сливочного масла  -мука просеянная 2 стакана.  -разрыхлитель 1 ч. ложка  -украшения для кондитерских изделий    Приготовление:  Холодное сливочное масло нарезаем кубиками. Перемешиваем с размятым творогом до однородной консистенции. Муку просеять вместе с разрыхлителем горкой на стол. Сделать в центре углубление и выложить в него творожную массу. Замесить тесто. Раскатать тесто в большой прямоугольный пласт. Разогреть духовку до 200 градусов. Противень смазать сливочным маслом или застелить бумагой для выпечки. Вырезать из теста печенье любой формы. Выпекайте 15 мин.    В это время готовим поливку. Берём миску и выкладываем разломанный шоколад (белый и молочный, не тёмный!), нарезаем мягкое сливочное масло (20 гр.) среднего размера кубиками и добавляем к шоколаду. Ставим на водяную баню и растапливаем шоколад. Поливаем готовое печенье шоколадом.    4 вариант (Творожное печенье для деток за 5 минут):    Ингредиенты:  -150 г. сливочного масла,  -200 г. творога,  -250 г. пшеничной муки,  -100 г. сахара.    Приготовление:  Холодное масло перетереть с сахаром и творогом. Всыпать муку и быстро замесить тесто. Завернуть тесто в пищевую плёнку и убрать в холодильник минимум на 2 часа.  Лучше делать тесто вечером, а утром печь печенье. При желании можно добавить немного ванили. Разогреть духовку до 200 градусов. Тесто раскатать толщиной в 3 мм, нарезать печенье и выложить на застеленный пекарской бумагой противень. Поставить выпекаться на 10-15 минут, в зависимости от размера печенек.  Приятного аппетита!;3;5;0;865;;Счастливая МАМА;1092834
https://vk.com/wall-132598808_8555;https://vk.com/club132598808?w=wall-132598808_8555;https://vk.com/club132598808;https://vk.com/club132598808;2024-06-03 17:30;Знаете ли вы, что в библиотеке можно организовать досуг даже для самых маленьких? 🍼  С сентября 2023 года в [club44348240|Центральной детской библиотеке им. Н. А. Внукова] для мам с малышами работает клуб «Сорока» – бесплатные групповые занятия, которые проходят в игровой форме.  Одной из площадок Клуба стала [club101045506|Центральная районная библиотека «В Озерках»] – получилось ещё больше детских улыбок и общения!  • Итогом занятий в этом сезоне стал спектакль «Колобок» – наши самые юные читатели под руководством родителей лепили колобка, вместе с главным героем прыгали и катались по настоящей тропинке, пели песенки и играли на ложках, а в финале даже скрылись от лисы под гигантским гамаком!  Следующие занятия клуба «Сорока» состоятся в сентябре – до новых встреч 👋🏻  Больше фотографий ждут вас в альбоме ↓;37;4;7;854;;Библиотеки Выборгского района Санкт-Петербурга;5114
https://vk.com/wall75507121_876;https://vk.com/id75507121?w=wall75507121_876;https://vk.com/id75507121;https://vk.com/id75507121;2024-06-03 00:53;Before Hi Died in Prison  (видео внизу)  Жаль, «утром в газете – вечером в куплете» не получилось, не под гармошку же рэпчик пошёл.    https://youtu.be/R6MOM1x3M-4  https://cloud.mail.ru/public/Mb2Z/NQmE46VjQ    Текст: Алексей Порьяз – первые три куплета, И.Князев – следующие три.    Парнишка из Марьино, мало кому знакомый,  Как-то купил пару акций Газпрома.  И сделавшись видным акционером,  Решил он освоить крутые манеры.  И в устной форме, и задним числом  Всё выяснял - где дивиденды, Газпром?  И это стало серьёзным зачином –  Парнишка решил стать известным мужчиной.    Побежал за славой  с юною оравой,  как за ценным призом,    BEFORE HE DIED IN PRISON    Но было в Газпроме Лехаиму тесно,  Быть в Риме вторым пацану неуместно.  Сперва он развил до предела амбиции,  А после соратников напустил на полицию.  Так началась лихая карьера  Самого странного оппозиционера.  Искал он повсюду следы коррупционеров,  Хотя и сам мог стать им примером.  Немало потырил он вятского леса,  Но это все было во имя прогресса.  Повсюду летал он голубем сизым    BEFORE HE DIED IN PRISON    Попал за дела свои Леха на кичу,  Но скоро нарушил арестантский обычай –  Его отпустили, чтоб не стал он героем,  И он немедленно шоу устроил.  Соратники все сели по заграницам  И между собой за общак стали грызться.  А Леху совсем без вниманья оставили,  И даже менты обижать перестали.  Тогда он с жестоким слег отравленьем  И тоже рванул за бугор на леченье.  Поправили парню здоровье хозяева  И снова домой – «ишь, разлегся» – отправили.  И думал он, что к победе теперь станет близок –    BEFORE HE DIED IN PRISON    И птиц прикормив, – спасибо овсянке –  он жил, голубей обучая «морзянке»:  взлетят выше статуй крылатые засранцы,  надежда, подмога, спасители, посланцы,  над тучами рея, направятся прямо  в Нью-Йорк, к зданию авторства Ренцо Пьяно,  начнут на карнизе морзяночный чат:  клюв по стеклу – тире-точки звучат.  Глубокая мысль и тонкий расчёт,  что кто-то знакомый с «морзянкой» прочтёт.  Стрекочут странички, пыхтят журналисты,  ждут мемуаров друзья-навальнисты.  О, мемуары! Так, разновидность тризны.  Аккурат    BEFORE HI DIED IN PRISON    Есть кредо: класть яйца по разным корзинам,  и чтоб обойти злую строгость УФСИНа,  другой способ выслать «маляву» придумал,  военную хитрость на уровне глума:  пыхтит швейник Лёха, стрекочет машинка,  часть мемуара в робу зашита –  листок свёрнут в трубочку и втиснут в шов,  прострочен надёжно – ах, хорошо!  Контейнеровоз, океан, а потом  разгрузка, невзрачный катер, Потомак,  неприметная фура, драйвер-реднек,  баул контрабандный с робой на дне,  издательский клерк не то Райз, не то Ривз,  и всё это –    BEFORE HI DIED IN PRISON    На кой тебе, парень, ответствуй мне, ну,  опрыскивать ядом родную страну?  Занялся бы делом с тем самым венцом,  без мышиной возни с тюремным концом,  ну на крайняк уж – бабло с «серых» схем,  закрыто, тихонько, неслышно совсем,  транжирил б невидимо эти денжули  на игрушки Захару, на брюли для Юли,  коптил б понемногу небес синеву,  топтал б городские асфальт и траву,  лежал б на песке, обдуваемый бризом...    Помалкивает, в землю сырую уложен.  Ответ был возможен    BEFORE HI DIED IN PRISON;127;6;6;736;;Игорь Князев;144
https://vk.com/wall-110816607_66749;https://vk.com/club110816607?w=wall-110816607_66749;https://vk.com/club110816607;https://vk.com/club110816607;2024-06-03 19:23;"Чеснок при заболеваниях суставов и остеохондрозе. Чеснок обладает широким спектром целебных свойств, его препараты применяются при лечении многих заболеваний. Эффективен он, в том числе, при болезнях опорно-двигательного аппарата. Чеснок с успехом применяется при лечении заболеваний опорно-двигательного аппарата Чеснок с успехом применяется при лечении заболеваний опорно-двигательного аппарата  При артритах, артрозах, радикулите, подагре, ревматизме и остеохондрозе препараты чеснока используются как внутрь, так и наружно. При внутреннем употреблении следует помнить о противопоказаниях: нельзя применять чеснок при острых воспалительных заболеваниях почек, гастрите и язвенной болезни желудка и двенадцатиперстной кишки на фоне повышенной кислотности желудочного сока, панкреатите, геморрое в фазе обострения. Беременным следует проконсультироваться со своим врачом, прежде чем принять решение об употреблении чеснока и его препаратов.  Настойка чеснока при заболеваниях суставов и остеохондрозе Очистить и измельчить 300 г чеснока, сложить в бутылку из темного стекла, залить 0,5 л водки, укупорить, настаивать в темном месте при комнатной температуре в течение 10 дней, процедить. Хранить в темном прохладном месте.  При ревматизме, подагре и артритах принимать в течение 1 месяца 3 раза в день за 20 минут до еды по 20 капель настойки с 0,5 стакана молока. Сделать перерыв на 10 дней и повторить курс. При остеохондрозе и артрозах настойку принимать по той же схеме, но по 30 капель на прием.  Помимо общих противопоказаний, эту настойку не следует применять также при стенокардии, беременности и грудном вскармливании.  Настойка чеснока с лимоном и перцем при болезнях суставов и позвоночника Смешать 300 г очищенного измельченного чеснока, 300 г лимонов, перемолотых вместе с кожурой, и 1-2 измельченных острых перца среднего размера. Залить смесь 0,5 л водки, тщательно укупорить, настаивать в темном месте при комнатной температуре в течение 10 дней, процедить. Принимать 3 раза в день за полчаса до еды по 1 ст.ложке настойки и одновременно втирать ее в больное место. Курс — 1 месяц, после 10-дневного перерыва при необходимости можно повторить.  Применение настойки противопоказано при любых острых заболеваниях желудочно-кишечного тракта, почек и печени, а также при беременности и кормлении грудью.  Чеснок с яблочным уксусом при заболеваниях суставов (наружное) Очистить 7-8 крупных зубчиков чеснока, измельчить, залить 0,5 л яблочного уксуса, добавить 100 мл водки, хорошо перемешать, укупорить, настаивать в темном прохладном месте в течение 3 недель, регулярно взбалтывая, затем процедить. Натирать больные суставы для облегчения боли и воспаления, это средство эффективно также при растяжениях связок.  Настой чеснока с лимоном при заболеваниях суставов Измельчить 4 головки чеснока (предварительно очистить) и 4 лимона среднего размера (с кожурой, но без семян). Смешать, залить смесь 1 л кипятка и настаивать под крышкой в течение 1 суток. Процедить, принимать 3 раза в день за полчаса до еды по 50 мл настоя.  ПЕРЕД ПРИМЕНЕНИЕМ ЛЮБОГО ПРЕПАРАТА, СРЕДСТВА ИЛИ МЕТОДА ЛЕЧЕНИЯ, ОБЯЗАТЕЛЬНО КОНСУЛЬТИРУЙТЕСЬ С ЛЕЧАЩИМ ВРАЧОМ!  Приглашаем в нашу группу ""Домашние заготовки"", ссылка в комментариях 👇";1;3;1;697;;Идеи для дома;150629
https://vk.com/wall-124298453_62148;https://vk.com/club124298453?w=wall-124298453_62148;https://vk.com/club124298453;https://vk.com/club124298453;2024-06-03 11:31;"Отчёт N°89  Конкурс отчётов ПФК 2024  Всем здравствуйте.  Хотел бы рассказать о том как уменя прошëл ""Камский фидер"" Приехали на место соревнований вечером в пятницу, поставили лагерь и приступил к тренировке. Тяга конь. Пробовал ловить на разных дистанциях, ближе стояла плотва, подальше была густера и полещик. Рыба брала на всë. До 12 ночи сидели в компании, кушали шашлык. В 1 ночи спать. Проснулись в 6, поели, умылись, пошли мешать прикорм. Мешался Дунаев сладкий лещ, карп натурал, турбо фидер.  На жеребьёвке выпал сектор Б1.  Разложился, собрался и поехали. Дистанцию выбрал 27 метров.  Первые полчаса ни поклёвки, потом изредка проходила густера, плотва и подлещик. В основном был ëрш, который не отказывался брать мотыля. В середине тура подсело что-то крупное, которое благополучно спустя 5 метров оборвал поводок.  Так и закончил тур с весом 820 грамм, я стал 5 в зоне.  Большое спасибо Станиславу Желтову за несколько для меня нужных советов.  Спасибо организаторам за соревнования.  Спасибо за торт Степану Дьякову.  Спасибо спонсорам.  #Dunaev за арoму.  #Volzhanka за кепку.  Игорь за прикорм.  #отчетыПФК #КонкурсОтчетов2024";26;1;6;685;;Пермский фидерный клуб;5106
https://vk.com/wall-219563108_5474;https://vk.com/club219563108?w=wall-219563108_5474;https://vk.com/club219563108;https://vk.com/club219563108;2024-06-03 14:59;Как на Руси спасались от комаров без всякой химии: в ход шли неожиданные продукты  Назойливо жужжащие над ухом комары - один из признаков наступающего лета. Сколько уже всяких разных средств придумало человечество от кровососов, а все равно эти мелкие зловредные существа умудряются докучать людям. Но ведь жили же наши предки как-то до расцвета химической промышленности. Поэтому давайте вспомним бабушкины рецепты от комаров.  Все, наверно, помнят, как в детстве мамы и бабушки опрыскивали нас перед сном одеколоном «Гвоздика» — «чтобы комарики не покусали». И, кстати, это средство отлично справлялось с поставленной задачей. Сейчас такой одеколон в магазине не купишь, зато его можно сделать дома.  ✅Рецепт довольно прост: на 5 граммов гвоздики потребуется один стакан кипятка, настаиваем 15 минут. Такой раствор, конечно, нужно применять сразу после приготовления, потому что через день запах выдохнется, но, обмазавшись гвоздичной настойкой, ночью вы будете спать спокойно даже с открытыми окнами. Кстати, можно использовать готовое эфирное масло гвоздики. Эфирные масла вообще хорошо отпугивают насекомых: таким природным репеллентом является масло с запахом лаванды, мяты, базилика, эвкалипта, мелиссы, герани или лимона. Его можно добавлять в аромалампу, в миску с водой или смачивать им салфетки.  ✅Еще один народный рецепт — ванилиновый крем. Ванильный запах очень многим людям нравится, он ассоциируется с детством, визитами к бабушке, которая к нашему приходу всегда пекла вкусные булочки. А вот комары от запаха ванили совсем не в восторге. Для приготовления ванильного крема нужно взять примерно 50 г пахучей пряности и добавить в детский крем, а затем нанести его на открытые места кожи. Можно приготовить не крем, а лосьон, для этого берем половину столовой ложки ванилина и разводим его в стакане теплой воды, а потом протираем смоченным в этом растворе ватным диском кожу. Ванильный репеллент абсолютно безвреден, его можно использовать даже маленьким детям.   ✅Бальзам «Звездочка» во времена нашего детства как средство от комаров стоял по популярности на втором месте после одеколона «Гвоздика». Некоторые и до сих пор им пользуются. Однако его резкий запах у многих вызывает головную боль, кроме того, его нельзя наносить на кожу рядом с глазами — это может вызвать раздражение.  ✅Запах лаврового листа. Комаров он отпугивает не хуже «Звездочки», а у людей лаврушка не вызывает никаких неприятных ощущений. Знатоки советуют использовать свежие листья: из них можно сделать небольшой букет и поставить его на прикроватную тумбочку. Если свежего лавра нет, подойдет и сушеный, хотя эффект будет хуже. Можно выращивать лавровое деревце на подоконнике, и тогда ни один комар не залетит к вам домой.  Источник: mail.ru;5;1;0;651;;Сарафан Талица;4267
https://vk.com/wall-87249056_231436;https://vk.com/club87249056?w=wall-87249056_231436;https://vk.com/club87249056;https://vk.com/club87249056;2024-06-03 11:16;Детские вещи до года + 2 комплекта верхней одежды ( красный - осень, голубой - зима). Обувь 22,23 размер осень и зима. Ложка для кормления и ниблер (новые, не пользовались). Забирать на ул Латышская. Писать в лс.;0;0;0;625;;Отдам даром Наро-Фоминск;23019
https://vk.com/wall-160805033_218169;https://vk.com/club160805033?w=wall-160805033_218169;https://vk.com/club160805033;https://vk.com/club160805033;2024-06-03 19:00;Анонимно  Здравствуйте) подскажите как правильно заменять одно кормление смесью?  Начала прикорм с овощного пюре  Даю по 40г. минут за 20 до смеси. Уже неделю так.. с каждым днем увеличивать порцию и давать меньше смеси или как правильно?;0;0;5;553;;Мамочки Крыма|Симферополь|Севастополь|Евпатория;29967
https://vk.com/wall-83739168_2098;https://vk.com/club83739168?w=wall-83739168_2098;https://vk.com/club83739168;https://vk.com/club83739168;2024-06-03 13:23;"✨По традиции в нашем детском саду прошел праздник, посвященный Дню защиты детей.  Ребята старшей группы читали стихи и украсили игрой на ложках песню ""Росиночка - Россия!""  ☀К ребятам в гости приходило Лето и героиня детских повестей и мультфильмов Старуха Шапокляк! Они веселили детей, играли в игры и танцевали.  🎈Море впечатлений и хорошее настроение у детей – наш главный девиз.";24;0;0;520;;"МАДОУ ""Детский сад № 112"" (""Росинка"")";444
https://vk.com/wall-189784640_82036;https://vk.com/club189784640?w=wall-189784640_82036;https://vk.com/club189784640;https://vk.com/club189784640;2024-06-03 01:15;Улыбнитесь на ночь!  Счастье стоит ВЫСОКО на полке, В вазочке для конфет.  Как же легко тебе быть довольной  В пять с половиной лет!  В комнате пахнет духами мамы,  Выпечкой, молоком.  Ложкой рисуешь на каше манной,  - Ешь.  - Не хочу, потом.  И убегаешь со смехом к детской.  Мультики про принцесс.  - Мама, а принцы ведь есть на свете?  - Принцы на свете есть.  Детство проносится вереницей:  Сказка, игрушки - ах!  Шумно звенят, спотыкаясь, спицы  В бабушкиных руках.  Классно за жизнью следить сквозь стёкла  Розовых детских призм.  Так, словно мир не бывает блёклым,  Будто бы жизнь - сюрприз!..  Детство нельзя описать словами,  Счётом на «раз-два-три».  Детство всегда остаётся с нами,  Детство - оно внутри.    Пусть оно будет с тобою долго -  Годы, десятки лет.  Счастье стоит высоко на полке,  В вазочке для конфет.    Алёна Котова;12;0;0;516;;Фиалочный Городок;7224
